,CountryName,CountryCode,IndicatorName,IndicatorCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Aruba,ABW,Land area (sq. km),AG.LND.TOTL.K2,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,,
1,Aruba,ABW,Surface area (sq. km),AG.SRF.TOTL.K2,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,,
2,Aruba,ABW,Total fisheries production (metric tons),ER.FSH.PROD.MT,200,200,300,300,300,300,300,400,400,400,400,400,400,500,550,600,650,700,770,770,770,770,770,770,770,770,700,620,550,480,420,350,300,260,260,140,160,205,182,175,163,163,163,160,162,162,145,159,151,163,153,168,138,145,152,150,150,149,149,,
3,Aruba,ABW,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,200,200,300,300,300,300,300,400,400,400,400,400,400,500,550,600,650,700,770,770,770,770,770,770,770,770,700,620,550,480,420,350,300,260,260,140,160,205,182,175,163,163,163,160,162,162,145,159,151,163,153,166,138,145,152,150,150,149,149,,
4,Aruba,ABW,Agricultural land (% of land area),AG.LND.AGRI.ZS,,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,,
5,Aruba,ABW,Arable land (% of land area),AG.LND.ARBL.ZS,,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,,
6,Aruba,ABW,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
7,Aruba,ABW,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,
8,Aruba,ABW,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
9,Aruba,ABW,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,11092.675,11576.719,12713.489,12178.107,11840.743,10623.299,9933.903,12236.779,11378.701,14891.687,16655.514,14495.651,14055.611,15592.084,14132.618,10234.597,21862.654,11419.038,9724.884,10201.594,10498.621,9999.909,11180.683,5746.189,14348.971,16794.86,179.683,447.374,612.389,649.059,487.711,531.715,539.049,649.059,660.06,707.731,726.066,759.069,806.74,810.407,2379.883,2409.219,2438.555,2563.233,2618.238,2720.914,2717.247,2823.59,2658.575,2629.239,2508.228,2500.894,1349.456,861.745,872.746,898.415,883.747,,,,
